Timestamp,Sum of Losses,Number of Nodes,Average Data Quantity,Training Data Size
2024-12-18T02:46:27Z,180689.933561,563,939.466431,265869
2024-12-18T02:49:32Z,180493.197061,565,935.260563,265614
2024-12-18T02:52:38Z,180637.424295,567,931.884211,265587
2024-12-18T02:55:43Z,180810.325139,569,928.622378,265586
2024-12-18T02:58:49Z,180846.558732,571,925.184669,265528
2024-12-18T03:01:55Z,181037.753649,573,921.927083,265515
2024-12-18T03:04:59Z,180928.688797,575,918.719723,265510
2024-12-18T03:08:03Z,180719.537688,577,915.548276,265509
2024-12-18T03:11:08Z,180639.564447,579,912.398625,265508
2024-12-18T03:14:14Z,180592.759799,581,909.260274,265504
2024-12-18T03:17:19Z,180472.557985,583,906.153584,265503
2024-12-18T03:20:25Z,180296.356988,585,903.068027,265502
2024-12-18T03:23:29Z,180770.822923,587,899.928814,265479
2024-12-18T03:26:16Z,180759.601326,589,896.773649,265445
2024-12-18T03:28:40Z,180322.766091,591,893.750842,265444
2024-12-18T03:31:22Z,180826.875603,593,890.748322,265443
2024-12-18T03:34:29Z,181053.964800,595,887.762542,265441
2024-12-18T03:37:36Z,181039.980616,597,884.800000,265440
2024-12-18T03:40:41Z,180837.670461,599,881.637874,265373
2024-12-18T03:43:46Z,180725.228471,601,878.715232,265372
2024-12-18T03:46:49Z,180684.983086,603,875.603960,265308
2024-12-18T03:49:56Z,180363.798663,605,872.707237,265303
2024-12-18T03:53:00Z,180486.713214,607,869.842623,265302
2024-12-18T03:56:05Z,180794.771840,609,866.996732,265301
2024-12-18T03:59:09Z,180507.737445,611,864.162866,265298
2024-12-18T04:02:12Z,180635.575992,613,861.321429,265287
2024-12-18T04:05:14Z,180428.047991,615,858.446602,265260
2024-12-18T04:08:21Z,180048.417132,617,855.661290,265255
2024-12-18T04:11:14Z,180337.538697,619,852.906752,265254
2024-12-18T04:13:45Z,179001.246838,621,850.169872,265253
2024-12-18T04:16:16Z,179326.268901,623,847.447284,265251
2024-12-18T04:18:41Z,180738.427734,625,844.745223,265250
2024-12-18T04:21:15Z,180380.496521,627,842.031746,265240
2024-12-18T04:24:19Z,180024.348825,629,838.408228,264937
2024-12-18T04:27:26Z,180212.362978,631,835.656151,264903
2024-12-18T04:30:32Z,180316.709254,633,832.745283,264813
2024-12-18T04:33:37Z,180308.366086,635,830.128527,264811
2024-12-18T04:36:39Z,180331.951128,637,827.525000,264808
2024-12-18T04:39:43Z,180519.683900,639,824.943925,264807
2024-12-18T04:42:49Z,180560.567438,641,822.366460,264802
2024-12-18T04:45:50Z,180298.973736,643,819.801858,264796
2024-12-18T04:48:36Z,180136.670421,645,817.250000,264789
2024-12-18T04:51:28Z,179386.383170,647,814.729231,264787
2024-12-18T04:54:32Z,179163.282746,649,812.226994,264786
2024-12-18T04:57:37Z,180216.306721,651,809.715596,264777
2024-12-18T05:00:39Z,180314.595935,653,807.115854,264734
